scenario,trial,sample_size,cgr,cgr_ciL,cgr_ciH,cgr_moe
cgr060,17,300,0.608,0.55,0.664,0.057
cgr060,16,100,0.59,0.487,0.687,0.1
cgr060,16,140,0.579,0.492,0.661,0.085
cgr060,16,180,0.539,0.463,0.613,0.075
cgr060,16,220,0.545,0.477,0.613,0.068
cgr060,16,260,0.558,0.495,0.619,0.062
cgr060,16,300,0.569,0.511,0.626,0.058
cgr060,15,100,0.55,0.447,0.65,0.101
cgr060,15,140,0.579,0.492,0.661,0.085
cgr060,15,180,0.572,0.496,0.646,0.075
cgr060,15,220,0.595,0.527,0.661,0.067
cgr060,15,260,0.565,0.503,0.627,0.062
cgr060,15,300,0.578,0.52,0.635,0.058
cgr060,14,100,0.59,0.487,0.687,0.1
cgr060,14,140,0.6,0.514,0.682,0.084
cgr060,14,180,0.617,0.541,0.688,0.073
cgr060,14,220,0.636,0.569,0.7,0.065
cgr060,14,260,0.65,0.589,0.708,0.06
cgr060,14,300,0.642,0.584,0.697,0.056
cgr060,13,100,0.59,0.487,0.687,0.1
cgr060,13,140,0.6,0.514,0.682,0.084
cgr060,13,180,0.606,0.53,0.677,0.074
cgr060,13,220,0.595,0.527,0.661,0.067
cgr060,13,260,0.588,0.526,0.649,0.061
cgr060,13,300,0.584,0.526,0.641,0.058
cgr060,12,100,0.62,0.517,0.715,0.099
cgr060,12,140,0.607,0.521,0.689,0.084
cgr060,12,180,0.622,0.547,0.693,0.073
cgr060,12,220,0.641,0.574,0.704,0.065
cgr060,12,260,0.646,0.585,0.704,0.06
cgr060,12,300,0.635,0.576,0.691,0.057
cgr060,11,100,0.64,0.538,0.734,0.098
cgr060,11,140,0.614,0.528,0.695,0.083
cgr060,11,180,0.644,0.57,0.714,0.072
cgr060,11,220,0.632,0.564,0.696,0.066
cgr060,11,260,0.608,0.545,0.667,0.061
cgr060,11,300,0.597,0.538,0.653,0.058
cgr060,10,100,0.64,0.538,0.734,0.098
cgr060,10,140,0.614,0.528,0.695,0.083
cgr060,10,180,0.583,0.508,0.656,0.074
cgr060,10,220,0.6,0.532,0.665,0.067
cgr060,10,260,0.6,0.538,0.66,0.061
cgr060,10,300,0.595,0.537,0.652,0.058
cgr060,9,100,0.5,0.398,0.602,0.102
cgr060,9,140,0.521,0.435,0.607,0.086
cgr060,9,180,0.522,0.447,0.597,0.075
cgr060,9,220,0.545,0.477,0.613,0.068
cgr060,9,260,0.55,0.487,0.612,0.062
cgr060,9,300,0.537,0.479,0.595,0.058
cgr060,8,100,0.6,0.497,0.697,0.1
cgr060,8,140,0.629,0.543,0.709,0.083
cgr060,8,180,0.656,0.581,0.725,0.072
cgr060,8,220,0.655,0.588,0.717,0.065
cgr060,8,260,0.658,0.597,0.715,0.059
cgr060,8,300,0.654,0.596,0.709,0.056
cgr060,7,100,0.57,0.467,0.669,0.101
cgr060,7,140,0.557,0.471,0.641,0.085
cgr060,7,180,0.589,0.513,0.662,0.074
cgr060,7,220,0.609,0.541,0.674,0.066
cgr060,7,260,0.612,0.549,0.671,0.061
cgr060,7,300,0.59,0.532,0.647,0.058
cgr060,6,100,0.58,0.477,0.678,0.1
cgr060,6,140,0.6,0.514,0.682,0.084
cgr060,6,180,0.589,0.513,0.662,0.074
cgr060,6,220,0.577,0.509,0.643,0.067
cgr060,6,260,0.558,0.495,0.619,0.062
cgr060,6,300,0.557,0.498,0.615,0.059
cgr060,5,100,0.62,0.517,0.715,0.099
cgr060,5,140,0.6,0.514,0.682,0.084
cgr060,5,180,0.578,0.502,0.651,0.074
cgr060,5,220,0.591,0.523,0.657,0.067
cgr060,5,260,0.604,0.542,0.664,0.061
cgr060,5,300,0.611,0.553,0.667,0.057
cgr060,4,100,0.66,0.558,0.752,0.097
cgr060,4,140,0.686,0.602,0.761,0.08
cgr060,4,180,0.667,0.593,0.735,0.071
cgr060,4,220,0.677,0.611,0.739,0.064
cgr060,4,260,0.677,0.616,0.733,0.059
cgr060,4,300,0.663,0.606,0.717,0.055
cgr060,3,100,0.62,0.517,0.715,0.099
cgr060,3,140,0.614,0.528,0.695,0.083
cgr060,3,180,0.65,0.576,0.719,0.072
cgr060,3,220,0.641,0.574,0.704,0.065
cgr060,3,260,0.646,0.585,0.704,0.06
cgr060,3,300,0.639,0.581,0.693,0.056
cgr060,2,100,0.64,0.538,0.734,0.098
cgr060,2,140,0.607,0.521,0.689,0.084
cgr060,2,180,0.6,0.524,0.672,0.074
cgr060,2,220,0.591,0.523,0.657,0.067
cgr060,2,260,0.588,0.526,0.649,0.061
cgr060,2,300,0.59,0.531,0.647,0.058
cgr060,1,100,0.58,0.477,0.678,0.1
cgr060,1,140,0.586,0.499,0.668,0.084
cgr060,1,180,0.561,0.485,0.635,0.075
cgr060,1,220,0.573,0.504,0.639,0.067
cgr060,1,260,0.573,0.51,0.634,0.062
cgr060,1,300,0.594,0.535,0.651,0.058
cgr060,0,100,0.65,0.548,0.743,0.097
cgr060,0,140,0.6,0.514,0.682,0.084
cgr060,0,180,0.633,0.558,0.704,0.073
cgr060,0,220,0.645,0.578,0.709,0.065
cgr060,0,260,0.627,0.565,0.686,0.06
cgr060,0,300,0.633,0.575,0.688,0.056
cgr090,29,100,0.92,0.848,0.965,0.058
cgr090,29,140,0.921,0.864,0.96,0.048
cgr090,29,180,0.922,0.873,0.957,0.042
cgr090,29,220,0.918,0.874,0.951,0.039
cgr090,29,260,0.908,0.866,0.94,0.037
cgr090,29,300,0.893,0.852,0.926,0.037
cgr090,28,100,0.93,0.861,0.971,0.055
cgr090,28,140,0.921,0.864,0.96,0.048
cgr090,28,180,0.917,0.866,0.953,0.043
cgr090,28,220,0.909,0.863,0.944,0.04
cgr090,28,260,0.912,0.87,0.943,0.036
cgr090,28,300,0.903,0.863,0.934,0.035
cgr090,27,100,0.88,0.8,0.936,0.068
cgr090,27,140,0.857,0.788,0.911,0.061
cgr090,27,180,0.861,0.802,0.908,0.053
cgr090,27,220,0.855,0.801,0.898,0.049
cgr090,27,260,0.869,0.822,0.908,0.043
cgr090,27,300,0.874,0.83,0.91,0.04
cgr090,26,100,0.85,0.765,0.914,0.074
cgr090,26,140,0.857,0.788,0.911,0.061
cgr090,26,180,0.85,0.789,0.899,0.055
cgr090,26,220,0.855,0.801,0.898,0.049
cgr090,26,260,0.858,0.809,0.898,0.044
cgr090,26,300,0.865,0.82,0.902,0.041
cgr090,25,100,0.84,0.753,0.906,0.076
cgr090,25,140,0.857,0.788,0.911,0.061
cgr090,25,180,0.878,0.821,0.922,0.05
cgr090,25,220,0.886,0.837,0.925,0.044
cgr090,25,260,0.9,0.857,0.934,0.038
cgr090,25,300,0.9,0.86,0.932,0.036
cgr090,24,100,0.92,0.848,0.965,0.058
cgr090,24,140,0.921,0.864,0.96,0.048
cgr090,24,180,0.911,0.86,0.948,0.044
cgr090,24,220,0.914,0.868,0.947,0.039
cgr090,24,260,0.912,0.87,0.943,0.036
cgr090,24,300,0.9,0.86,0.931,0.036
cgr090,23,100,0.91,0.836,0.958,0.061
cgr090,23,140,0.893,0.829,0.939,0.055
cgr090,23,180,0.894,0.84,0.935,0.048
cgr090,23,220,0.886,0.837,0.925,0.044
cgr090,23,260,0.881,0.835,0.918,0.041
cgr090,23,300,0.879,0.836,0.914,0.039
cgr090,22,100,0.87,0.788,0.929,0.07
cgr090,22,140,0.857,0.788,0.911,0.061
cgr090,22,180,0.872,0.814,0.917,0.051
cgr090,22,220,0.882,0.832,0.921,0.045
cgr090,22,260,0.877,0.831,0.914,0.042
cgr090,22,300,0.871,0.828,0.907,0.04
cgr090,21,100,0.94,0.874,0.978,0.052
cgr090,21,140,0.936,0.881,0.97,0.044
cgr090,21,180,0.917,0.866,0.953,0.043
cgr090,21,220,0.932,0.89,0.961,0.036
cgr090,21,260,0.931,0.893,0.958,0.033
cgr090,21,300,0.936,0.902,0.961,0.03
cgr090,20,100,0.93,0.861,0.971,0.055
cgr090,20,140,0.907,0.846,0.95,0.052
cgr090,20,180,0.9,0.847,0.94,0.047
cgr090,20,220,0.905,0.858,0.94,0.041
cgr090,20,260,0.904,0.861,0.937,0.038
cgr090,20,300,0.894,0.853,0.927,0.037
cgr090,19,100,0.88,0.8,0.936,0.068
cgr090,19,140,0.886,0.821,0.933,0.056
cgr090,19,180,0.889,0.834,0.931,0.049
cgr090,19,220,0.9,0.853,0.936,0.042
cgr090,19,260,0.912,0.87,0.943,0.036
cgr090,19,300,0.91,0.871,0.94,0.035
cgr090,18,100,0.9,0.824,0.951,0.064
cgr090,18,140,0.921,0.864,0.96,0.048
cgr090,18,180,0.906,0.853,0.944,0.045
cgr090,18,220,0.923,0.879,0.954,0.038
cgr090,18,260,0.923,0.884,0.952,0.034
cgr090,18,300,0.916,0.878,0.945,0.034
cgr090,17,100,0.91,0.836,0.958,0.061
cgr090,17,140,0.921,0.864,0.96,0.048
cgr090,17,180,0.894,0.84,0.935,0.048
cgr090,17,220,0.895,0.847,0.933,0.043
cgr090,17,260,0.908,0.866,0.94,0.037
cgr090,17,300,0.907,0.867,0.938,0.035
cgr090,16,100,0.82,0.731,0.89,0.08
cgr090,16,140,0.843,0.772,0.899,0.064
cgr090,16,180,0.839,0.777,0.889,0.056
cgr090,16,220,0.85,0.796,0.894,0.049
cgr090,16,260,0.865,0.818,0.904,0.043
cgr090,16,300,0.872,0.829,0.908,0.04
cgr090,15,100,0.92,0.848,0.965,0.058
cgr090,15,140,0.907,0.846,0.95,0.052
cgr090,15,180,0.889,0.834,0.931,0.049
cgr090,15,220,0.886,0.837,0.925,0.044
cgr090,15,260,0.885,0.839,0.921,0.041
cgr090,15,300,0.877,0.834,0.912,0.039
cgr090,14,100,0.87,0.788,0.929,0.07
cgr090,14,140,0.893,0.829,0.939,0.055
cgr090,14,180,0.9,0.847,0.94,0.047
cgr090,14,220,0.914,0.868,0.947,0.039
cgr090,14,260,0.912,0.87,0.943,0.036
cgr090,14,300,0.912,0.874,0.942,0.034
cgr090,13,100,0.88,0.8,0.936,0.068
cgr090,13,140,0.907,0.846,0.95,0.052
cgr090,13,180,0.917,0.866,0.953,0.043
cgr090,13,220,0.918,0.874,0.951,0.039
cgr090,13,260,0.915,0.875,0.946,0.036
cgr090,13,300,0.918,0.881,0.947,0.033
cgr090,12,100,0.94,0.874,0.978,0.052
cgr090,12,140,0.914,0.855,0.955,0.05
cgr090,12,180,0.911,0.86,0.948,0.044
cgr090,12,220,0.918,0.874,0.951,0.039
cgr090,12,260,0.927,0.888,0.955,0.034
cgr090,12,300,0.925,0.889,0.953,0.032
cgr090,11,100,0.84,0.753,0.906,0.076
cgr090,11,140,0.85,0.78,0.905,0.062
cgr090,11,180,0.856,0.796,0.903,0.054
cgr090,11,220,0.855,0.801,0.898,0.049
cgr090,11,260,0.858,0.809,0.898,0.044
cgr090,11,300,0.856,0.811,0.894,0.041
cgr090,10,100,0.92,0.848,0.965,0.058
cgr090,10,140,0.879,0.813,0.928,0.057
cgr090,10,180,0.906,0.853,0.944,0.045
cgr090,10,220,0.914,0.868,0.947,0.039
cgr090,10,260,0.896,0.853,0.93,0.039
cgr090,10,300,0.9,0.86,0.932,0.036
cgr090,9,100,0.9,0.824,0.951,0.064
cgr090,9,140,0.907,0.846,0.95,0.052
cgr090,9,180,0.911,0.86,0.948,0.044
cgr090,9,220,0.905,0.858,0.94,0.041
cgr090,9,260,0.904,0.861,0.937,0.038
cgr090,9,300,0.906,0.866,0.937,0.036
cgr090,8,100,0.94,0.874,0.978,0.052
cgr090,8,140,0.936,0.881,0.97,0.044
cgr090,8,180,0.95,0.907,0.977,0.035
cgr090,8,220,0.945,0.907,0.972,0.032
cgr090,8,260,0.935,0.897,0.961,0.032
cgr090,8,300,0.935,0.9,0.96,0.03
cgr090,7,100,0.92,0.848,0.965,0.058
cgr090,7,140,0.893,0.829,0.939,0.055
cgr090,7,180,0.894,0.84,0.935,0.048
cgr090,7,220,0.9,0.853,0.936,0.042
cgr090,7,260,0.904,0.861,0.937,0.038
cgr090,7,300,0.89,0.849,0.924,0.037
cgr090,6,100,0.96,0.901,0.989,0.044
cgr090,6,140,0.943,0.891,0.975,0.042
cgr090,6,180,0.906,0.853,0.944,0.045
cgr090,6,220,0.905,0.858,0.94,0.041
cgr090,6,260,0.9,0.857,0.934,0.038
cgr090,6,300,0.898,0.858,0.93,0.036
cgr090,5,100,0.91,0.836,0.958,0.061
cgr090,5,140,0.921,0.864,0.96,0.048
cgr090,5,180,0.911,0.86,0.948,0.044
cgr090,5,220,0.918,0.874,0.951,0.039
cgr090,5,260,0.908,0.866,0.94,0.037
cgr090,5,300,0.906,0.867,0.937,0.035
cgr090,4,100,0.91,0.836,0.958,0.061
cgr090,4,140,0.893,0.829,0.939,0.055
cgr090,4,180,0.867,0.808,0.913,0.052
cgr090,4,220,0.868,0.816,0.91,0.047
cgr090,4,260,0.877,0.831,0.914,0.042
cgr090,4,300,0.872,0.828,0.909,0.04
cgr090,3,100,0.9,0.824,0.951,0.064
cgr090,3,140,0.893,0.829,0.939,0.055
cgr090,3,180,0.911,0.86,0.948,0.044
cgr090,3,220,0.909,0.863,0.944,0.04
cgr090,3,260,0.904,0.861,0.937,0.038
cgr090,3,300,0.906,0.867,0.937,0.035
cgr090,2,100,0.92,0.848,0.965,0.058
cgr090,2,140,0.921,0.864,0.96,0.048
cgr090,2,180,0.911,0.86,0.948,0.044
cgr090,2,220,0.9,0.853,0.936,0.042
cgr090,2,260,0.904,0.861,0.937,0.038
cgr090,2,300,0.904,0.864,0.935,0.036
cgr090,1,100,0.87,0.788,0.929,0.07
cgr090,1,140,0.879,0.813,0.928,0.057
cgr090,1,180,0.878,0.821,0.922,0.05
cgr090,1,220,0.891,0.842,0.929,0.043
cgr090,1,260,0.9,0.857,0.934,0.038
cgr090,1,300,0.906,0.866,0.937,0.036
cgr090,0,100,0.9,0.824,0.951,0.064
cgr090,0,140,0.893,0.829,0.939,0.055
cgr090,0,180,0.883,0.827,0.926,0.05
cgr090,0,220,0.886,0.837,0.925,0.044
cgr090,0,260,0.888,0.844,0.924,0.04
cgr090,0,300,0.893,0.852,0.926,0.037
